tr,frame,x,y,z,R_cam,x_cam,y_cam,in_fov
0,0,7.777777777777778,8.444444444444445,0.11,21.0,787.0,273.0,1
0,1,7.766632999226651,8.3612187150921,0.1600594094948964,22.005714321990723,786.9927201669136,282.0499968425009,1
0,2,7.755488220675524,8.277992985739756,0.2091221610631974,22.0008103830012,786.0072557496834,291.0925163180032,1
0,3,7.744343442124396,8.19476725638741,0.2571882547049033,22.000196085183536,784.9814474753576,301.136585125838,1
0,4,7.73319866357327,8.111541527035069,0.3042576904200141,22.00210172908655,785.0058859646132,310.1901911835952,1
0,5,7.722053885022145,8.028315797682723,0.3503304682085296,22.03714657585628,783.9662549246141,319.2376972275745,1
0,6,7.710909106471017,7.945090068330378,0.3954065880704498,22.990248450295866,783.9529433011402,328.2843487969688,1
0,7,7.69976432791989,7.861864338978034,0.4394860500057749,22.999472085571032,783.0249423194393,337.3307379863196,1
0,8,7.688619549368762,7.77863860962569,0.4825688540145048,23.004354744236785,781.949839437641,346.37825143411175,1
0,9,7.677474770817635,7.695412880273345,0.5246550000966393,23.07096061104836,781.9267228021566,355.4479881975187,1
0,10,7.666329992266507,7.612187150921001,0.5657444882521787,23.984872259198443,781.0354278682662,363.5204837665444,1
0,11,7.655185213715381,7.528961421568657,0.6058373184811228,23.99715534590697,779.9345852232318,372.55313131460446,1
0,12,7.644040435164253,7.445735692216312,0.6449334907834718,23.97409267308836,779.8987581898713,381.6029149585392,1
0,13,7.632895656613124,7.362509962863968,0.6830330051592255,25.06846373230616,779.0456360892043,390.6453022693107,1
0,14,7.621750878061999,7.279284233511623,0.7201358616083838,25.00576861704224,777.9204333437168,399.5485148858136,1
0,15,7.610606099510872,7.19605850415928,0.7562420601309473,25.009263794510805,777.8582357763778,408.68680501449705,1
0,16,7.599461320959745,7.112832774806935,0.7913516007269151,25.13792319524387,776.8856393006669,417.7828567800295,1
0,17,7.588316542408619,7.029607045454591,0.8254644833962881,25.97875424933628,776.0642524182251,425.8955970454894,1
0,18,7.577171763857491,6.946381316102245,0.8585807081390655,26.00923173573262,774.9565099839905,434.9075805814965,1
0,19,7.566026985306364,6.863155586749902,0.8907002749552481,26.169050096832137,773.8937692981023,443.7498516955794,1
0,20,7.554882206755236,6.7799298573975575,0.9218231838448352,26.976704503430724,773.8000937531491,452.960496771693,1
0,21,7.5437374282041105,6.696704128045213,0.9519494348078272,27.01106808815598,772.8197903362548,461.0970664969082,1
0,22,7.532592649652982,6.61347839869287,0.9810790278442238,27.201339466140343,771.8121668995475,469.871818683322,1
0,23,7.521447871101857,6.530252669340524,1.0092119629540253,27.9702946376446,770.8191073569152,479.0983423313359,1
0,24,7.51030309255073,6.447026939988182,1.0363482401372317,27.942724965340577,770.0881660146929,487.2644195952479,1
0,25,7.499158313999602,6.363801210635835,1.0624878593938425,29.10106296888857,768.9643683865482,496.0645534438396,1
0,26,7.488013535448476,6.280575481283491,1.0876308207238587,29.02342882737065,767.9562043066076,504.3645911279651,1
0,27,7.476868756897349,6.197349751931147,1.1117771241272794,29.25890158282724,766.9552018773725,513.1503831348068,1
0,28,7.465723978346222,6.114124022578803,1.1349267696041043,29.967469201148063,765.9343003044702,521.4723862815916,1
0,29,7.454579199795095,6.030898293226457,1.1570797571543348,29.9301266013929,764.5851677442114,530.2141870998488,1
0,30,7.443434421243967,5.947672563874114,1.1782360867779695,31.100669429588294,763.7063018809736,538.2184382999261,1
0,31,7.43228964269284,5.86444683452177,1.1983957584750091,30.93560644105741,762.7100181424582,547.4396641161536,1
0,32,7.421144864141715,5.781221105169426,1.2175587722454535,32.10899573536344,761.7925148719387,555.3836352389245,1
0,33,7.410000085590585,5.69799537581708,1.235725128089303,32.02787824287584,760.0041136121566,563.4144090328119,1
0,34,7.398855307039459,5.614769646464737,1.252894826006557,32.33764499798582,758.9433745007472,571.3836533162342,1
0,35,7.3877105284883315,5.531543917112392,1.269067865997216,32.88986939877417,757.5133987856931,580.6131835517457,1
0,36,7.376565749937206,5.448318187760049,1.2842442480612792,34.09973460047801,756.7402633232984,588.5561180015188,1
0,37,7.3654209713860785,5.365092458407704,1.298423972198748,33.922220897636606,754.9835257785625,596.5918354520587,1
0,38,7.354276192834951,5.28186672905536,1.311607038409621,35.10179693776385,753.475848763011,604.6327772493071,1
0,39,7.343131414283823,5.198640999703013,1.323793446693899,34.92064137797178,752.679242898417,612.6536431373845,1
0,40,7.331986635732698,5.115415270350671,1.3349831970515815,36.13082923417002,750.4869506500377,620.3028977439535,1
