tr,r0_x,r0_y,r0_z,v0_x,v0_y,v0_z,g_x,g_y,g_x_bin,g_y_bin,tf,is_roll,tg,type,goes_in
0,9.05050505050505,6.444444444444444,0.11,-3.3194526179196733,-6.826375560535897,5.149272357898621,5.916773571414022,0.5996826765015077,1,2,1.0498006845868748,False,0.9440506733471502,in,1
1,6.222222222222222,4.0,0.11,0.22560209156388886,-2.8185718819490178,0.0,6.5423873285425005,0.11,2,1,28.823508734929167,True,1.4559292668139325,in,1
2,6.505050505050505,9.555555555555555,0.11,-0.1676038727852937,-6.293808940923398,7.410717675013914,6.250586454304922,0.0549133126453647,2,1,1.5108496789019192,False,1.5182468430879328,in,1
3,4.949494949494949,10.222222222222221,0.11,0.37057744817422766,-1.9653682491850422,0.0,6.876932734933772,0.11,3,1,20.38735983690112,True,6.119632981380107,in,1
4,6.222222222222222,8.666666666666666,0.11,-0.11933337196244037,-4.481169980898235,0.0,5.9914292459646,0.11,1,1,45.695806530985266,True,1.9767758547683942,in,1
5,5.515151515151515,6.444444444444444,0.11,0.37057744817422766,-1.9653682491850422,0.0,6.730275336406424,0.11,3,1,20.38735983690112,True,3.5961688505038167,in,1
6,5.232323232323232,6.444444444444444,0.11,0.5239198405221839,-2.778624076434025,0.0,6.447447053578141,0.11,2,1,28.823508734929167,True,2.4209651185478243,in,1
7,6.505050505050505,3.222222222222222,0.11,1.7555473505504435,-9.310596313164208,3.1985699606649796,7.11261241567796,0.6294823066043728,4,2,0.652103967515796,False,0.3460811868372316,in,1
8,5.515151515151515,6.222222222222221,0.11,0.6570230525660329,-2.1789605010997373,0.0,7.3913413020362855,0.11,4,1,23.199409469577137,True,3.0570038891873654,in,1
10,9.757575757575758,11.0,0.11,-0.6710617030838426,-2.746801767162283,0.0,7.070203548132238,0.11,4,1,28.823508734929167,True,4.329874844041769,in,1
11,8.909090909090908,7.555555555555555,0.11,-0.7868844476644536,-5.876207568634755,6.258377394112637,7.897324546060146,0.04775322618697864,6,1,1.2759179192890187,False,1.28578772402197,in,1
12,5.797979797979798,3.5555555555555554,0.11,0.4234852624763455,-5.290835935790079,3.6006190171772308,6.082571003597823,0.31453210531975095,1,1,0.7340711553878146,False,0.6720215101556736,in,1
13,7.212121212121212,4.333333333333333,0.11,-1.6337369827658523,-6.687241442504049,3.652966837562125,6.153459432643462,0.4174930354915989,1,1,0.7447434938964577,False,0.6480001313831296,in,1
14,9.898989898989898,10.0,0.11,-0.6710617030838426,-2.746801767162283,0.0,7.455924254041244,0.11,5,1,28.823508734929167,True,3.905140796980597,in,1
15,7.636363636363636,6.444444444444444,0.11,-0.1477232688665267,-5.547258633847967,5.857841240889429,7.4647483463259166,0.2953328872813108,5,1,1.1942591724545217,False,1.1617349883638155,in,1
16,7.636363636363636,3.444444444444444,0.11,-0.06792822711708145,-2.5508198352805342,0.0,7.544638222722786,0.11,5,1,26.011459102253156,True,1.3873249817815028,in,1
17,8.202020202020202,6.666666666666666,0.11,-0.1247085273554766,-4.683016158491528,6.905791401862042,8.024487143360492,0.000543619242439064,6,1,1.4079085426833928,False,1.4235839555194068,in,1
18,8.626262626262626,7.888888888888888,0.11,-0.5401228341894344,-2.210840446740374,0.0,6.698955284136465,0.11,3,1,23.199409469577137,True,3.8952957099175443,in,1
20,7.636363636363636,6.444444444444444,0.11,0.18158217125873982,-2.268606636690673,0.0,8.152185196546307,0.11,6,1,23.199409469577137,True,3.0398658933274665,in,1
21,7.07070707070707,8.555555555555555,0.11,-0.16339492468703376,-6.1357558199991225,0.0,6.842872978760443,0.11,3,1,62.56810432704137,True,1.410270379927813,in,1
23,9.05050505050505,6.888888888888888,0.11,-1.6090793678290765,-6.586312451963992,5.76020698008261,7.367504272873755,0.7688067174213797,4,2,1.1743541243797369,False,1.045940188706758,in,1
24,7.353535353535353,8.11111111111111,0.11,-0.15809443319463876,-5.936713398175972,6.990251423949296,7.1375367988327065,0.5044838472629767,4,2,1.4251277113046474,False,1.3662628742703349,in,1
25,5.797979797979798,11.0,0.11,0.4728057097395319,-2.5075388006843644,0.0,7.872070458397661,0.11,6,1,26.011459102253156,True,4.836394889082323,in,1
26,9.333333333333332,9.222222222222221,0.11,-1.0564802171007688,-7.889464668245302,6.053114636233463,8.098383213751665,0.4834949800758599,6,1,1.2340702622290445,False,1.1689287689367824,in,1
28,7.494949494949495,4.444444444444445,0.11,-0.1469085299105373,-5.516663807842404,4.68854056518352,7.3765941225096885,0.7036574161613021,4,2,0.9558696361230418,False,0.8056398938297257,in,1
29,7.353535353535353,4.888888888888888,0.11,-2.2232733442874606,-9.100342223240533,2.6076206699345637,6.159147704893789,0.09525595116211694,1,1,0.5316250091609711,False,0.5372203340225603,in,1
30,5.797979797979798,7.0,0.11,0.1595722111061653,-1.9936240140615005,0.0,6.358268734040285,0.11,2,1,20.38735983690112,True,3.8804975098671957,in,1
31,8.484848484848484,10.444444444444445,0.11,-0.2654510545674446,-1.9823056620080142,0.0,7.08623027712949,0.11,4,1,20.38735983690112,True,6.216646747988711,in,1
32,7.636363636363636,8.666666666666666,0.11,-0.30206499312847146,-2.255727132629809,0.0,6.475808102298938,0.11,2,1,23.199409469577137,True,4.227193360350492,in,1
35,7.636363636363636,10.0,0.11,-1.0114947134058032,-7.553526960903644,6.474651256682003,6.297261097058215,0.08484090192135518,2,1,1.3200104498842005,False,1.3238848622317856,in,1
36,5.9393939393939394,9.0,0.11,1.4341910599032628,-7.606273901140612,5.886132163509781,7.636377207008556,0.2074636909700054,5,1,1.200026944650312,False,1.1832337511078046,in,1
37,8.06060606060606,8.666666666666666,0.11,-1.2241779983547052,-5.010827281231052,8.566971354336076,5.94328250165056,0.2541478095214469,1,1,1.746579277132737,False,1.7295879862251915,in,1
38,8.626262626262626,10.11111111111111,0.11,-0.9635498699059885,-7.1954898271328185,6.877244927718678,7.2722811698538115,0.08854668732131366,4,1,1.4020886702790372,False,1.4052012238255194,in,1
39,6.787878787878787,8.88888888888889,0.11,0.4479086935412496,-5.595971387252701,8.275535150991702,7.499356801923851,0.8791498751745248,5,2,1.6871631296619167,False,1.588444306405366,in,1
40,10.04040404040404,8.555555555555555,0.11,-0.6710617030838426,-2.746801767162283,0.0,7.950225655281303,0.11,6,1,28.823508734929167,True,3.3041130179219196,in,1
41,9.333333333333332,11.0,0.11,-0.411906808811552,-3.0759915444951944,0.0,7.860320540097369,0.11,6,1,31.635558367605185,True,3.8048952368056868,in,1
42,6.363636363636363,9.777777777777777,0.11,-0.1723585925806212,-6.472356712297112,7.6209508005462245,6.10325454426879,0.42872110036921107,1,1,1.5537106627005555,False,1.5106982220557392,in,1
43,7.777777777777778,8.333333333333332,0.11,-0.07527181923784701,-2.8265841417973485,0.0,7.555861454453141,0.11,5,1,28.823508734929167,True,3.116704959263612,in,1
44,7.353535353535353,3.1111111111111107,0.11,-1.0103521611950015,-4.135591539605297,3.6168741502844295,6.593470486217994,0.055049626462039924,2,1,0.7373851478663465,False,0.752277172761611,in,1
45,5.797979797979798,8.777777777777777,0.11,0.2696220118690379,-3.3685371272073628,0.0,6.5005643368492985,0.11,2,1,34.44760800028121,True,2.7126170807704613,in,1
47,8.909090909090908,7.111111111111111,0.11,-1.6533170233565824,-4.584603711716725,8.094310865820981,6.344655290602585,0.8641962763530948,2,2,1.6502162825323101,False,1.5510852318462054,in,1
48,6.787878787878787,7.888888888888888,0.11,-0.07527181923784701,-2.8265841417973485,0.0,6.577798001798131,0.11,2,1,28.823508734929167,True,2.9410045776750313,in,1
49,9.474747474747474,7.0,0.11,-0.8746146409177111,-1.7986242603424383,0.0,6.070866730217563,0.11,1,1,20.38735983690112,True,4.357550094734959,in,1
50,7.353535353535353,9.11111111111111,0.11,0.9175788739928558,-2.1741868447901376,4.447131347373551,11.198726071246687,-67.39057419296597,7,0,0.906652670208675,False,4.190583312995143,out,0
51,4.242424242424242,10.222222222222221,0.11,-0.30206499312847146,-2.255727132629809,0.0,2.873563868912034,0.11,0,1,23.199409469577137,True,5.090068438779561,out,0
54,7.636363636363636,10.444444444444445,0.11,-0.678477732236061,-1.8814005333420665,0.0,3.869848821708912,0.11,0,1,20.38735983690112,True,6.629204106952242,out,0
58,5.515151515151515,10.222222222222221,0.11,-0.2654510545674446,-1.9823056620080142,0.0,4.146291141639306,0.11,0,1,20.38735983690112,True,6.056272161783361,out,0
59,7.494949494949495,8.88888888888889,0.11,0.0054951630059924695,-0.0062800722741896365,8.344823413793451,15.272868482816984,-9814820.319260532,7,0,1.701289177124047,False,1415.4118775704517,out,0
61,6.222222222222222,6.555555555555555,0.11,-0.4746533997422302,-1.9428597865294197,0.0,4.620656966089215,0.11,0,1,20.38735983690112,True,3.712130839724811,out,0
63,4.242424242424242,9.666666666666666,0.11,-0.08995900347937813,-3.3781127548309775,0.0,3.9850013073676633,0.11,0,1,34.44760800028121,True,2.9914477412801386,out,0
64,8.484848484848484,9.777777777777777,0.11,0.7316844458641104,-0.43114086257261697,7.746690698861664,25.078608288608113,-2346.9931933020016,7,0,1.5793457082286775,False,22.67884727843654,out,0
65,9.757575757575758,8.0,0.11,1.369482416464462,2.4723362110903104,4.166303903602719,5.32619652906698,-64.7288566491585,0,0,0.8493993687263443,False,-3.2358058601066912,out,0
66,8.06060606060606,10.888888888888888,0.11,0.577383894679241,-1.9148440767240114,0.0,11.343938187654409,0.11,7,1,20.38735983690112,True,6.830949136868488,out,0
