tr,frame,x,y,z,R_cam,x_cam,y_cam
0,0,9.05050505050505,6.444444444444444,0.11,28,1171.0,246.0
0,1,9.033831540310096,6.410155766278426,0.135740885200907,28,1169.0,252.0
0,2,9.01715803011514,6.375867088112408,0.1612342618902668,28,1168.0,258.0
0,3,9.000484519920184,6.341578409946391,0.1864801300680794,29,1166.0,264.0
0,4,8.983811009725226,6.307289731780373,0.2114784897343448,29,1165.0,270.0
0,5,8.96713749953027,6.2730010536143554,0.2362293408890631,29,1164.0,277.0
0,6,8.950463989335315,6.238712375448338,0.2607326835322343,29,1162.0,283.0
0,7,8.93379047914036,6.20442369728232,0.2849885176638581,29,1161.0,289.0
0,8,8.917116968945404,6.170135019116303,0.3089968432839348,29,1159.0,295.0
0,9,8.900443458750448,6.135846340950285,0.3327576603924644,30,1158.0,301.0
0,10,8.883769948555491,6.101557662784267,0.3562709689894467,30,1156.0,307.0
0,11,8.867096438360536,6.0672689846182495,0.3795367690748819,30,1155.0,313.0
0,12,8.85042292816558,6.032980306452232,0.4025550606487699,30,1153.0,319.0
0,13,8.833749417970624,5.998691628286214,0.4253258437111107,30,1152.0,326.0
0,14,8.817075907775669,5.9644029501201965,0.4478491182619043,31,1150.0,332.0
0,15,8.800402397580713,5.930114271954178,0.4701248843011508,31,1149.0,338.0
0,16,8.783728887385758,5.89582559378816,0.49215314182885,31,1147.0,344.0
0,17,8.7670553771908,5.861536915622143,0.5139338908450022,31,1145.0,350.0
0,18,8.750381866995845,5.827248237456125,0.5354671313496071,31,1144.0,356.0
0,19,8.73370835680089,5.792959559290107,0.5567528633426648,31,1142.0,362.0
0,20,8.717034846605934,5.75867088112409,0.5777910868241753,32,1140.0,369.0
0,21,8.700361336410978,5.724382202958072,0.5985818017941386,32,1139.0,375.0
0,22,8.683687826216023,5.690093524792054,0.6191250082525548,32,1137.0,381.0
0,23,8.667014316021067,5.655804846626037,0.6394207061994237,32,1135.0,387.0
0,24,8.65034080582611,5.621516168460019,0.6594688956347455,32,1133.0,393.0
0,25,8.633667295631154,5.587227490294001,0.6792695765585202,33,1132.0,399.0
0,26,8.616993785436199,5.552938812127984,0.6988227489707476,33,1130.0,406.0
0,27,8.600320275241243,5.518650133961966,0.7181284128714278,33,1128.0,412.0
0,28,8.583646765046288,5.484361455795948,0.7371865682605608,33,1126.0,418.0
0,29,8.566973254851332,5.450072777629931,0.7559972151381468,34,1124.0,424.0
0,30,8.550299744656375,5.415784099463913,0.7745603535041856,34,1122.0,430.0
0,31,8.533626234461419,5.381495421297895,0.792875983358677,34,1120.0,437.0
0,32,8.516952724266464,5.347206743131878,0.8109441047016214,34,1118.0,443.0
0,33,8.500279214071508,5.31291806496586,0.8287647175330185,34,1116.0,449.0
0,34,8.483605703876552,5.278629386799842,0.8463378218528684,35,1114.0,455.0
0,35,8.466932193681597,5.244340708633825,0.8636634176611713,35,1112.0,461.0
0,36,8.450258683486641,5.210052030467807,0.8807415049579268,35,1110.0,468.0
0,37,8.433585173291684,5.175763352301789,0.8975720837431355,35,1108.0,474.0
0,38,8.416911663096728,5.141474674135772,0.9141551540167964,36,1106.0,480.0
0,39,8.400238152901773,5.107185995969754,0.9304907157789106,36,1104.0,486.0
0,40,8.383564642706817,5.072897317803736,0.9465787690294776,36,1102.0,493.0
0,41,8.366891132511862,5.038608639637719,0.9624193137684972,36,1100.0,499.0
0,42,8.350217622316906,5.004319961471701,0.9780123499959696,37,1097.0,505.0
0,43,8.333544112121949,4.9700312833056834,0.993357877711895,37,1095.0,511.0
0,44,8.316870601926993,4.935742605139666,1.0084558969162731,37,1093.0,518.0
0,45,8.300197091732038,4.901453926973648,1.023306407609104,37,1090.0,524.0
0,46,8.283523581537082,4.867165248807631,1.037909409790388,38,1088.0,530.0
0,47,8.266850071342127,4.832876570641613,1.0522649034601246,38,1086.0,536.0
0,48,8.250176561147171,4.798587892475595,1.066372888618314,38,1083.0,543.0
0,49,8.233503050952216,4.7642992143095775,1.0802333652649565,39,1081.0,549.0
0,50,8.216829540757258,4.73001053614356,1.0938463334000512,39,1078.0,555.0
0,51,8.200156030562303,4.695721857977542,1.1072117930235992,39,1076.0,561.0
0,52,8.183482520367347,4.661433179811524,1.1203297441355995,39,1073.0,568.0
0,53,8.166809010172392,4.627144501645506,1.1332001867360533,40,1070.0,574.0
0,54,8.150135499977436,4.592855823479489,1.1458231208249596,40,1068.0,580.0
0,55,8.13346198978248,4.558567145313472,1.1581985464023186,40,1065.0,587.0
0,56,8.116788479587525,4.524278467147454,1.1703264634681307,41,1062.0,593.0
0,57,8.100114969392568,4.489989788981435,1.1822068720223955,41,1059.0,599.0
0,58,8.083441459197612,4.455701110815418,1.1938397720651128,41,1056.0,606.0
0,59,8.066767949002656,4.4214124326494,1.2052251635962834,42,1054.0,612.0
0,60,8.050094438807701,4.387123754483382,1.2163630466159068,42,1051.0,618.0
0,61,8.033420928612745,4.3528350763173655,1.2272534211239825,42,1048.0,625.0
0,62,8.01674741841779,4.318546398151348,1.2378962871205117,43,1045.0,631.0
0,63,8.000073908222834,4.284257719985329,1.2482916446054932,43,1041.0,637.0
0,64,7.983400398027878,4.249969041819312,1.2584394935789276,43,1038.0,644.0
0,65,7.966726887832921,4.215680363653294,1.2683398340408152,44,1035.0,650.0
0,66,7.950053377637966,4.181391685487276,1.2779926659911551,44,1032.0,657.0
0,67,7.93337986744301,4.147103007321259,1.287397989429948,45,1029.0,663.0
0,68,7.916706357248055,4.112814329155241,1.296555804357194,45,1025.0,669.0
0,69,7.900032847053098,4.078525650989223,1.3054661107728922,45,1022.0,676.0
0,70,7.883359336858143,4.044236972823206,1.3141289086770438,46,1018.0,682.0
0,71,7.866685826663186,4.009948294657188,1.322544198069648,46,1015.0,689.0
0,72,7.850012316468231,3.9756596164911695,1.330711978950705,47,1011.0,695.0
